"","recordID","survivorShip","gender","productType","issueDate","matDate","birthDate","currentDate","baseFee","riderFee","rollUpRate","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","FundNum1","FundNum2","FundNum3","FundNum4","FundNum5","FundNum6","FundNum7","FundNum8","FundNum9","FundNum10","FundFee1","FundFee2","FundFee3","FundFee4","FundFee5","FundFee6","FundFee7","FundFee8","FundFee9","FundFee10","age","ttm","fmv","Delta1","Delta2","Delta3","Delta4","Delta5","Rho1y","Rho2y","Rho3y","Rho4y","Rho5y","Rho7y","Rho10y","Rho30y"
"302",302,1,"M","ABRP",36982,45017,22555,41791,0.02,0.005,0,273636.46379,0,0,0,19215.587273,21921.911759,10956.274113,9874.364419,20957.630811,20536.704622,14684.169962,14392.506514,13756.279676,16711.551236,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.7013698630137,8.83835616438356,72574.188507,-33739.5863,-24540.0955,-21009.7161,-14958.42385,-20145.10665,0.351112,1.573946,1.750762,2.125375,4.209067,-37.126781,-105.450907,-90.375976
"958",958,1,"M","ABRP",40603,49735,20363,41791,0.02,0.005,0,436788.276659,0,0,0,53237.197419,47086.891665,37084.147067,32995.862885,39072.037098,50774.196199,44566.012971,42215.438943,39971.486203,41739.891231,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.7068493150685,21.7643835616438,-6723.126063,-23416.35505,-13275.5999,-15730.49315,-14198.3084,-13279.5903,0.225688,0.790411,0.946905,1.181312,2.304802,5.599782,11.062608,-216.807893
"1530",1530,1,"M","ABRP",36678,45078,26390,41791,0.02,0.005,0,393770.42971,0,0,0,23049.056326,28152.881066,12111.506863,14373.165634,31399.875771,25347.89824,16926.631601,19114.522694,15932.143435,21838.865817,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.1945205479452,9.00547945205479,128281.509811,-43534.47585,-32733.60665,-25447.70525,-21991.3347,-32249.23355,0.559152,2.443792,2.73768,3.333017,6.589476,-42.663853,-163.273765,-174.685105
"1786",1786,1,"M","ABRP",39448,49310,21155,41791,0.02,0.005,0,195454.226448,0,0,0,0,21210.999127,11324.277405,12797.161531,17679.247927,21229.901069,15547.970381,16844.541216,13821.774444,16912.974901,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.5369863013699,20.6,9527.809343,-9477.93055,-9434.5457,-8974.8922,-8554.7386,-8824.78295,0.159975,0.574811,0.683196,0.849935,1.660441,4.036014,-1.388911,-139.86196
"1871",1871,1,"M","ABRP",37438,45474,19511,41791,0.02,0.005,0,302727.942538,0,0,0,32062.996625,34015.634638,18896.923995,11647.001588,24002.906307,33166.438869,24864.554044,20054.152413,22917.422687,23731.577003,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.041095890411,10.0904109589041,35375.305554,-37867.504,-26386.3654,-24542.05005,-14168.9645,-17365.54085,0.315792,1.35692,1.526867,1.861969,3.678258,9.01465,-152.965685,-54.910513
"1937",1937,1,"F","ABRP",40817,48853,24807,41791,0.02,0.005,0,263614.626999,0,0,0,39557.905097,38181.001877,30095.229005,22691.420805,27048.420132,39045.299822,34590.70299,30075.104224,32415.50344,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.5315068493151,19.3479452054795,-1591.360158,-18633.86365,-9807.57035,-12678.4379,-11314.3173,-10958.94775,0.200844,0.689379,0.832329,1.040946,2.027844,4.919881,20.623935,-208.835127
"3007",3007,1,"M","ABRP",40664,48335,27211,41791,0.02,0.005,0,258866.12912,0,0,0,34760.626714,31144.185005,24283.78671,21513.20661,25776.744364,0,29136.473333,27540.051388,26250.178885,27379.407654,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,39.9452054794521,17.9287671232877,6186.401264,-18205.00045,-9484.1967,-15038.26745,-14486.98625,-14043.82085,0.233954,0.827977,0.988729,1.232311,2.406409,5.846269,6.812108,-217.876454
"3204",3204,1,"F","ABRP",41395,49065,21459,41791,0.02,0.005,0,170205.811439,0,0,0,19183.964663,18847.060962,17779.211735,15252.381141,16395.642354,19061.251255,18477.083596,17131.085759,18107.093734,17465.579931,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,55.7041095890411,19.9287671232877,-1358.287367,-10528.9194,-6014.39875,-8046.0219,-7724.47195,-7092.5658,0.119462,0.415811,0.499664,0.623825,1.216844,2.954732,8.354323,-118.632396
"3619",3619,1,"F","ABRP",37073,45474,25112,41791,0.02,0.005,0,249836.874221,0,0,0,20811.307616,23180.784035,0,10231.385203,21655.264454,22015.243401,16538.57613,15243.055662,15613.936342,17952.568249,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,45.6958904109589,10.0904109589041,57007.216943,-33405.2008,-23449.3627,-14243.2655,-15108.28215,-20856.0725,0.360135,1.484207,1.690707,2.071296,4.08104,9.98322,-131.520315,-126.302886
"4201",4201,1,"M","ABRP",39569,48700,24990,41791,0.02,0.005,0,152241.10587,0,0,0,14701.691783,14461.264284,7747.771055,9286.302572,12341.561429,14683.049229,10744.452343,11984.04518,9441.891858,11787.57233,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.0301369863014,18.9287671232877,11987.180631,-12949.84375,-7601.71765,-7460.49575,-7647.86725,-7836.59285,0.160705,0.579672,0.687909,0.855443,1.671516,4.063215,-2.819738,-138.633655
"4228",4228,1,"F","ABRP",38565,48792,20729,41791,0.02,0.005,0,402527.160069,0,0,0,38401.539946,34585.804867,22064.208418,20390.301793,33976.39998,37087.249284,29360.802549,28804.785774,25587.814948,30219.701278,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.7041095890411,19.1808219178082,31425.129379,-33264.09365,-19481.94305,-20359.3804,-17034.71785,-20241.07585,0.400429,1.459432,1.726259,2.144296,4.194127,10.20367,-17.882076,-330.16515
