"","recordID","gender","productType","age","ttm","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","fmv"
"75",75,"F","ABRP",46.6986301369863,12.6794520547945,271411.311606,0,0,0,28427.726346,0,18431.445511,12666.804333,26286.411506,29517.973123,23141.991639,19758.410745,0,23420.26365,47447.117199
"101",101,"M","ABRP",46.1972602739726,23.2684931506849,398757.132807,0,0,0,49665.398411,49849.955089,44726.658136,33220.960022,38142.559584,49782.57754,47192.757207,40710.370222,46292.790203,42749.046856,-10095.45919
"320",320,"M","ABRP",53.4493150684931,22.2684931506849,125572.423678,0,0,0,19404.07779,18209.310481,12461.801886,9826.634325,12416.881032,18957.09056,15603.457896,13925.20496,0,14178.304111,-3151.128941
"490",490,"F","ABRP",52.8684931506849,10.0082191780822,362221.57901,0,0,0,35227.246455,34350.370321,20240.242297,14037.125919,28732.722961,35259.492347,26974.789756,23104.234326,24125.766134,26493.219355,63213.256148
"504",504,"M","ABRP",38.2767123287671,19.0958904109589,371945.965061,0,0,0,35957.044061,32952.273073,18854.475318,20879.921975,31259.084351,34936.228904,26242.135979,28193.518319,22567.727692,28231.691243,34840.260325
"593",593,"F","ABRP",37.772602739726,10.2602739726027,180797.672378,0,0,0,17180.811731,15582.341098,9561.559407,9283.301173,15230.051381,16639.26224,12926.143147,12999.95342,11216.816961,13503.404187,33622.566006
"958",958,"M","ABRP",58.7068493150685,21.7643835616438,436788.276659,0,0,0,53237.197419,47086.891665,37084.147067,32995.862885,39072.037098,50774.196199,44566.012971,42215.438943,39971.486203,41739.891231,-6723.126063
"1035",1035,"M","ABRP",44.4438356164384,10.5945205479452,162066.536909,0,0,0,23274.283907,24734.362432,14532.606883,7891.922128,16037.80565,24076.559866,0,0,17322.70835,16854.646484,15137.174192
"1352",1352,"F","ABRP",43.5287671232877,19.3479452054795,380840.177371,0,0,0,51433.851713,49643.579051,39130.32154,29503.765934,35168.809539,50767.353735,44975.412217,39104.154962,42147.181279,40354.013586,-2369.077575
"1396",1396,"M","ABRP",46.2821917808219,16.5123287671233,364172.935187,0,0,0,37931.418694,36228.753486,36162.113209,35996.742027,36214.420931,37257.280067,37039.614828,36973.686769,36199.696068,36532.606146,4398.042449
"1399",1399,"F","ABRP",38.6082191780822,19.1808219178082,186547.34558,0,0,0,19774.249773,17809.39892,11361.606043,10499.654992,17495.595763,19097.477126,15118.868773,14832.556959,13176.03004,0,19205.616358
"1477",1477,"F","ABRP",60.3698630136986,18.6849315068493,141773.592707,0,0,0,12701.940808,11488.073055,6559.591677,8099.888461,11637.563652,12274.479875,9197.32264,10433.282033,7855.067346,10205.57711,12062.942494
"1701",1701,"F","ABRP",60.8739726027397,9.67671232876712,124687.185564,0,0,0,12412.351116,11226.158157,6410.040506,7915.220288,11372.240539,0,8987.634225,10195.415161,7675.980814,9972.901649,25014.620214
"2075",2075,"F","ABRP",45.1150684931507,18.5150684931507,171328.173699,0,0,0,17270.734409,17226.393847,8950.664704,11402.214662,15532.329379,17347.875588,12522.61554,14416.108322,0,14181.838364,15840.185566
"2222",2222,"F","ABRP",46.5315068493151,5.92054794520548,204204.203635,0,0,0,20443.070874,22959.210469,12217.123385,0,22286.834228,21711.063495,15989.803833,0,0,17903.571032,65221.128982
"2226",2226,"M","ABRP",60.2082191780822,9.92328767123288,155161.971858,0,0,0,14647.753216,13787.569942,8808.344767,6928.196691,12618.746497,14416.18505,11463.904155,10384.106866,10224.618333,11439.965463,23237.545756
"2303",2303,"F","ABRP",61.2082191780822,19.013698630137,384557.937099,0,0,0,50202.934437,49668.007059,44962.828589,31638.191887,36687.255603,50037.529692,47572.844652,39947.913163,46416.368797,42119.075963,-12017.039762
"2790",2790,"F","ABRP",54.2027397260274,9.00547945205479,173432.599368,0,0,0,18849.605834,18424.956435,9932.564662,10937.68333,14410.385095,18778.180379,13775.045753,14712.021957,12081.950471,14551.485868,27090.831486
"2812",2812,"M","ABRP",38.3561643835616,19.5150684931507,158441.231346,0,0,0,20114.781471,19825.65156,17043.365733,13560.767901,15194.954612,20014.44456,18535.672577,16552.009918,17865.622033,17008.50969,-1524.379945
"3666",3666,"F","ABRP",54.2027397260274,18.2657534246575,381423.043967,0,0,0,47506.42906,47682.963005,42782.377264,31776.835202,36484.491396,47618.514378,45141.27429,38940.678558,44280.429114,40890.733324,-4938.871121
"3736",3736,"M","ABRP",37.5232876712329,8.83835616438356,384430.0393,0,0,0,34979.476955,29973.801359,17971.531771,20765.978633,31804.857961,33094.463477,25270.355448,27735.406963,21215.799834,27363.495644,90275.097647
"4017",4017,"M","ABRP",37.6904109589041,10.5095890410959,147000.334704,0,0,0,13875.637262,12757.87546,7627.069148,7700.112451,12297.485622,13511.32575,10371.830495,10638.43376,9014.642946,10961.770282,26125.000089
"4201",4201,"M","ABRP",46.0301369863014,18.9287671232877,152241.10587,0,0,0,14701.691783,14461.264284,7747.771055,9286.302572,12341.561429,14683.049229,10744.452343,11984.04518,9441.891858,11787.57233,11987.180631
"4216",4216,"M","ABRP",59.8739726027397,19.0958904109589,149749.548034,0,0,0,22499.716543,21574.592752,13127.318651,10152.284808,12836.525701,22203.791506,17264.838112,15314.641118,15350.566378,15577.199752,-4011.515323
"4573",4573,"M","ABRP",60.5397260273973,16.9260273972603,425411.64919,0,0,0,35348.402587,32768.28702,18616.285831,24832.710546,34569.122239,34494.438935,25845.778447,30463.627996,22323.357125,29588.41667,38853.664325
"4924",4924,"M","ABRP",61.041095890411,9.17260273972603,374587.394524,0,0,0,39516.387351,36031.833612,0,23331.195728,34861.467707,38316.829248,28831.90045,31242.178246,24754.697461,31184.840182,58261.124639
"4946",4946,"F","ABRP",62.2082191780822,8.92054794520548,378212.695746,0,0,0,35707.782959,33731.708447,21147.548789,18335.679669,31286.808115,35159.099822,27722.509535,26347.155343,24662.069909,28310.407481,67092.543038
"5198",5198,"F","ABRP",38.441095890411,20.1808219178082,421335.533728,0,0,0,45967.424617,42165.234652,26381.980487,26808.184893,34961.648966,44630.099894,35042.017925,35967.310678,30653.088886,35620.200167,24678.767283
"5596",5596,"M","ABRP",51.8684931506849,9.33972602739726,349176.513561,0,0,0,37812.391889,35293.16885,22251.518759,0,32332.329141,37075.481124,29272.648425,26849.285958,25925.230295,29311.710083,56482.861514
"6470",6470,"M","ABRP",58.4547945205479,14.2630136986301,430441.199721,0,0,0,0,0,0,0,0,0,298650.624587,0,0,0,64723.189559
"6841",6841,"M","ABRP",52.2876712328767,9.84109589041096,151791.697741,0,0,0,18246.64753,19514.190253,11831.173126,0,13350.174144,18922.529527,14835.282009,11365.317483,13968.522203,13670.113097,14095.67311
"7047",7047,"M","ABRP",47.1178082191781,9.59178082191781,403980.556702,0,0,0,33048.075225,34885.401721,21940.948898,15080.77271,31314.722538,34180.486898,27226.385249,23247.641521,25659.863989,27570.181933,85064.862891
"8040",8040,"M","ABRP",52.8684931506849,17.3452054794521,174852.142839,0,0,0,19232.461187,20955.031249,11898.487244,6708.289702,13844.930338,20096.903544,15278.713661,11750.790499,14332.733449,14191.446478,10598.734947
"8136",8136,"F","ABRP",53.6164383561644,18.8465753424658,183586.922702,0,0,0,26202.658705,23884.75612,17348.059191,14233.69435,17625.125294,0,21405.854828,19542.642671,19201.776226,19702.646295,2213.321259
"9568",9568,"M","ABRP",56.786301369863,17.0931506849315,384396.827056,0,0,0,0,0,0,0,0,0,0,291542.583063,0,0,25466.36663
"9705",9705,"F","ABRP",38.0246575342466,8.75342465753425,378849.229344,0,0,0,44175.610331,47699.494328,28894.759768,14845.695369,29989.490548,45988.727793,36074.403978,26454.658257,34123.484829,32230.987163,48718.725981
"9860",9860,"M","ABRP",54.1205479452055,16.2630136986301,363525.785087,0,0,0,43752.073335,39786.539155,26849.675393,23428.707119,30149.421699,42331.478265,34471.221709,32770.11771,30478.552388,33001.673817,12503.329907
